image,ground_truth,prediction,is_correct,delta1_score,raw_output
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p000_true.jpg,2.418,1.52,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.52</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p001_true.jpg,2.293,1.93,True,1.0,<think>The target is at the Y degree ring...</think><answer>1.93</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p002_true.jpg,6.822,5.91,True,1.0,<think>The target is at the Y degree ring...</think><answer>5.91</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p003_true.jpg,7.066,4.31,False,0.0,<think>The target is at the Y degree ring...</think><answer>4.31</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p004_true.jpg,4.808,3.07,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.07</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p005_true.jpg,15.002,0.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p006_true.jpg,8.268,6.51,False,0.0,<think>The target is at the Y degree ring...</think><answer>6.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p007_true.jpg,2.087,1.75,True,1.0,<think>The target is at the Y degree ring...</think><answer>1.75</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p008_true.jpg,5.484,3.75,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.75</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p009_true.jpg,2.293,1.34,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.34</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p010_true.jpg,4.337,2.83,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.83</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p011_true.jpg,8.295,0.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p012_true.jpg,1.752,0.93,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.93</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p013_true.jpg,1.815,1.3,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.3</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p014_true.jpg,2.085,1.84,True,1.0,<think>The target is at the Y degree ring...</think><answer>1.84</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p015_true.jpg,11.437,0.56,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.56</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p016_true.jpg,8.261,6.51,False,0.0,<think>The target is at the Y degree ring...</think><answer>6.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p017_true.jpg,2.421,1.75,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.75</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p018_true.jpg,2.078,1.32,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.32</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p019_true.jpg,3.873,3.17,True,1.0,<think>The target is at the Y degree ring...</think><answer>3.17</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p020_true.jpg,6.052,3.75,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.75</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p021_true.jpg,2.738,1.73,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.73</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p022_true.jpg,2.1,1.32,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.32</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p023_true.jpg,7.124,5.91,True,1.0,<think>The target is at the Y degree ring...</think><answer>5.91</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p024_true.jpg,3.131,2.63,True,1.0,<think>The target is at the Y degree ring...</think><answer>2.63</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p025_true.jpg,1.749,1.03,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.03</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p026_true.jpg,8.463,0.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p027_true.jpg,3.015,2.51,True,1.0,<think>The target is at the Y degree ring...</think><answer>2.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p028_true.jpg,2.521,1.97,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.97</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p029_true.jpg,3.319,2.51,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p030_true.jpg,15.142,0.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p031_true.jpg,3.204,1.98,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.98</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p032_true.jpg,5.393,3.42,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.42</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p033_true.jpg,6.594,0.59,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.59</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p034_true.jpg,3.251,2.51,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p035_true.jpg,3.459,2.81,True,1.0,<think>The target is at the Y degree ring...</think><answer>2.81</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p036_true.jpg,3.614,2.48,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.48</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p037_true.jpg,10.793,0.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p038_true.jpg,3.138,2.61,True,1.0,<think>The target is at the Y degree ring...</think><answer>2.61</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p039_true.jpg,2.181,1.84,True,1.0,<think>The target is at the Y degree ring...</think><answer>1.84</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p040_true.jpg,3.371,2.51,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.51</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p041_true.jpg,2.952,2.19,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.19</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p042_true.jpg,2.309,1.35,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.35</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p043_true.jpg,4.746,3.41,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.41</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p044_true.jpg,2.35,1.86,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.86</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p045_true.jpg,2.519,1.93,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.93</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p046_true.jpg,6.322,4.03,False,0.0,<think>The target is at the Y degree ring...</think><answer>4.03</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p047_true.jpg,7.385,1.35,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.35</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p048_true.jpg,4.81,3.57,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.57</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p049_true.jpg,4.463,3.01,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.01</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p050_true.jpg,3.263,2.71,True,1.0,<think>The target is at the Y degree ring...</think><answer>2.71</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p051_true.jpg,4.957,3.27,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.27</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p052_true.jpg,1.934,1.23,False,0.0,<think>The target is at the Y degree ring...</think><answer>1.23</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p053_true.jpg,5.319,3.78,False,0.0,<think>The target is at the Y degree ring...</think><answer>3.78</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p054_true.jpg,4.235,2.81,False,0.0,<think>The target is at the Y degree ring...</think><answer>2.81</answer>
/mnt/dgx_lab/datasets/IbimsOurs/corridor_01_p055_true.jpg,7.266,0.71,False,0.0,<think>The target is at the Y degree ring...</think><answer>0.71</answer>
