image,ground_truth,prediction,is_correct,delta1_score,raw_output
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p000_std.jpg,2.418,1.75,False,0.0,The point is around 1.75 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p001_std.jpg,2.293,1.84,True,1.0,The point is around 1.84 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p002_std.jpg,6.822,4.71,False,0.0,The point is around 4.71 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p003_std.jpg,7.066,5.61,False,0.0,The point is around 5.61 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p004_std.jpg,4.808,4.03,True,1.0,The point is around 4.03 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p005_std.jpg,15.002,0.62,False,0.0,The point is around 0.62 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p006_std.jpg,8.268,0.62,False,0.0,The point is around 0.62 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p007_std.jpg,2.087,1.52,False,0.0,The point is around 1.52 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p008_std.jpg,5.484,4.02,False,0.0,The point is around 4.02 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p009_std.jpg,2.293,1.54,False,0.0,The point is around 1.54 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p010_std.jpg,4.337,3.05,False,0.0,The point is around 3.05 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p011_std.jpg,8.295,0.62,False,0.0,The point is around 0.62 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p012_std.jpg,1.752,1.14,False,0.0,The point is around 1.14 meters away from the camera.
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p013_std.jpg,1.815,1.25,False,0.0,The point is around 1.25 meters away from the camera.
