Index,Image_Name,Ground_Truth,Prediction_Raw,Delta1_Score,Full_Model_Output
0,rgb/corridor_01.png,1.68230716411078,1.38,1.0,<think> The point is around 1.38 meters away from the camera. </think>  <answer> 1.38 </answer>
1,rgb/corridor_02.png,3.23949034866865,2.78,1.0,<think> The point is around 2.78 meters away from the camera. </think>  <answer> 2.78 </answer>
2,rgb/corridor_03.png,3.850614175631342,1.08,0.0,<think> The point is around 1.08 meters away from the camera. </think>  <answer> 1.08 </answer>
3,rgb/corridor_04.png,6.728465705348287,13.08,0.0,<think> The point is around 13.08 meters away from the camera. </think>  <answer> 13.08 </answer>
4,rgb/corridor_05.png,2.571908140688182,2.30,1.0,<think> The point is around 2.30 meters away from the camera. </think>  <answer> 2.30 </answer>
5,rgb/corridor_06.png,1.7418173495078961,1.88,1.0,<think> The point is around 1.88 meters away from the camera. </think>  <answer> 1.88 </answer>
6,rgb/corridor_07.png,6.073090714885176,3.48,0.0,<think> The point is around 3.48 meters away from the camera. </think>  <answer> 3.48 </answer>
7,rgb/corridor_08.png,7.325856412603952,6.30,1.0,<think> The point is around 6.30 meters away from the camera. </think>  <answer> 6.30 </answer>
8,rgb/corridor_09.png,1.358815899900816,1.60,1.0,<think> The point is around 1.60 meters away from the camera. </think>  <answer> 1.60 </answer>
9,rgb/corridor_10.png,2.436102845807583,2.38,1.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
10,rgb/factory_01.png,1.050583657587548,1.38,0.0,<think> The point is around 1.38 meters away from the camera. </think>  <answer> 1.38 </answer>
11,rgb/factory_02.png,5.3521019302662705,4.88,1.0,<think> The point is around 4.88 meters away from the camera. </think>  <answer> 4.88 </answer>
12,rgb/factory_03.png,3.628595407034409,3.38,1.0,<think> The point is around 3.38 meters away from the camera. </think>  <answer> 3.38 </answer>
13,rgb/factory_04.png,8.3588921950103,1.08,0.0,<think> The point is around 1.08 meters away from the camera. </think>  <answer> 1.08 </answer>
14,rgb/factory_05.png,3.628595407034409,1.30,0.0,<think> The point is around 1.30 meters away from the camera. </think>  <answer> 1.30 </answer>
15,rgb/factory_06.png,1.478599221789883,1.38,1.0,<think> The point is around 1.38 meters away from the camera. </think>  <answer> 1.38 </answer>
16,rgb/factory_07.png,2.631418326085298,2.38,1.0,<think> The point is around 2.38 meters away from the camera. </think>  <answer> 2.38 </answer>
17,rgb/factory_08.png,1.606775005722133,2.00,1.0,<think> The point is around 2.00 meters away from the camera. </think>  <answer> 2.00 </answer>
18,rgb/kitchen_01.png,2.670328831921873,2.70,1.0,<think> The point is around 2.70 meters away from the camera. </think>  <answer> 2.70 </answer>
19,rgb/kitchen_02.png,1.89593347066453,1.78,1.0,<think> The point is around 1.78 meters away from the camera. </think>  <answer> 1.78 </answer>
