image,ground_truth,prediction,is_correct,delta1_score,raw_output
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p000_std.jpg,2.418,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p001_std.jpg,2.293,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p002_std.jpg,6.822,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p003_std.jpg,7.066,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p004_std.jpg,4.808,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p005_std.jpg,15.002,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p006_std.jpg,8.268,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p007_std.jpg,2.087,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p008_std.jpg,5.484,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p009_std.jpg,2.293,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p010_std.jpg,4.337,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p011_std.jpg,8.295,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p012_std.jpg,1.752,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p013_std.jpg,1.815,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p014_std.jpg,2.085,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p015_std.jpg,11.437,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p016_std.jpg,8.261,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p017_std.jpg,2.421,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p018_std.jpg,2.078,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p019_std.jpg,3.873,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p020_std.jpg,6.052,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p021_std.jpg,2.738,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p022_std.jpg,2.1,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p023_std.jpg,7.124,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p024_std.jpg,3.131,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p025_std.jpg,1.749,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p026_std.jpg,8.463,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p027_std.jpg,3.015,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p028_std.jpg,2.521,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p029_std.jpg,3.319,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p030_std.jpg,15.142,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p031_std.jpg,3.204,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p032_std.jpg,5.393,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p033_std.jpg,6.594,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p034_std.jpg,3.251,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p035_std.jpg,3.459,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p036_std.jpg,3.614,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p037_std.jpg,10.793,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p038_std.jpg,3.138,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p039_std.jpg,2.181,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p040_std.jpg,3.371,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p041_std.jpg,2.952,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p042_std.jpg,2.309,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p043_std.jpg,4.746,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p044_std.jpg,2.35,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p045_std.jpg,2.519,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p046_std.jpg,6.322,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p047_std.jpg,7.385,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p048_std.jpg,4.81,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p049_std.jpg,4.463,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p050_std.jpg,3.263,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p051_std.jpg,4.957,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p052_std.jpg,1.934,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p053_std.jpg,5.319,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p054_std.jpg,4.235,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p055_std.jpg,7.266,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p056_std.jpg,8.174,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p057_std.jpg,2.155,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p058_std.jpg,9.212,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p059_std.jpg,2.036,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p060_std.jpg,4.914,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p061_std.jpg,4.298,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p062_std.jpg,4.221,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p063_std.jpg,4.203,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p064_std.jpg,3.434,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p065_std.jpg,3.112,10.0,False,0.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p066_std.jpg,10.164,10.0,True,1.0,<answer>10</answer>
/mnt/dgx_lab/datasets/IbimsOG/corridor_01_p067_std.jpg,3.88,10.0,False,0.0,<answer>10</answer>
